Date,Headline,Conflict Type,Country,Region,Description,Sources
2014,U.S.-led coalition launches airstrikes to protect dams from ISIS,"Weapon, Casualty",Iraq,Western Asia,"A U.S.-led coalition launches a series of air strikes against targets of the Islamic State in Iraq and the Levant (ISIL) in areas around Mosul Dam, Fallujah Dam, and Haditha Dam in Iraq. U.S. aircraft destroy an ISIL-built earthen berm near the Fallujah Dam. This berm was built by ISIL to control downstream water supplies and to increase the flow of the Euphrates River into Abu Ghraib canals, flooding local Shiite neighborhoods in east Fallujah and forcing the locals to evacuate.",British Broadcasting Corporation (BBC) 2014b
2014,Over 1000 killed in Nigeria over access to land and water,Trigger,Nigeria,Sub-Saharan Africa,"Violence between farmers and herders kills over 1,000 people in 2014 in Nigeria alone, according to Human Rights Watch. At the root of this violence is the issue of access to land and water resources.",McAleer 2014
2014,Riots over erratic water supply in Kitwe,Trigger,Zambia,Sub-Saharan Africa,Kitwe's Wusakile and Chamboli townships experience riots over erratic water supply. Residents engage police in skirmishes and eight people are arrested.,Zambia Daily Mail 2014
2014,Attack on water construction project in Iraq,Casualty,Iraq,Western Asia,"Shots are fired at a checkpoint for an Iranian company working on a water project south of Kirkuk, Iraq.",Aswat al-Iraq 2014a
2014,Bombing injures two at water project in Iraq,Casualty,Iraq,Western Asia,Two people are injured when a bomb explodes near the center of the city Tuz Khurmatu at the town's water project.,Aswat al-Iraq 2014b
2014,Islamic State uses Falluja Dam as a weapon,Weapon,Iraq,Western Asia,"Islamic State closes the Fallujah Dam floodgates and diverts water over an irrigation channel into a side valley, inundating land up to 100km away and placing parts of the city of Abu Ghraib under up to four meters of water. More than 10,000 houses and 200 square kilometers of farmland are flooded and extensive livestock killed. Water for millions of people in the cities of Karbala, Najaf, and Babil is cut off for a time.",UN Security Council 2017
2014,Multiple water projects are attacked in Iraq,Casualty,Iraq,Western Asia,"In less than a week, several water projects are the targets of explosives, killing six employees of one of the water projects and damaging the infrastructure in Al-Shirqat District, Saladin Governorate, and Mushirfah, Nineveh Governorate, Iraq.","National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201404090018, 201404130034"
2014,Islamic State blocks access to water,Weapon,Iraq,Western Asia,"In Iraq, Islamic State blocks access to water in the predominantly Christian town of Qaraqosh (also known as Bakhdida), take over farms and agricultural land, and expel most of the 50,000 residents.",UN Security Council 2017
2014,Water purification plant in Fallujah attacked,Casualty,Iraq,Western Asia,"At least two people die from a blast at a water purification plant in the city of Fallujah, in Al Anbar Province. More than 20 people are hospitalized from chlorine poisoning from the destruction of a water-purification chemical storage facility.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201406130089
2014,Water well attacked in Pakistan,Casualty,Pakistan,Southern Asia,Two schools and a solar-powered tube well are destroyed in a blast attributed to militants in the Mohmand Agency. No injuries are reported.,"Newspaper Correspondent, The 2014"
2014,Haditha Dam on the Euphrates River is attacked,Casualty,Iraq,Western Asia,Reports from a military spokesperson from Iraq say secuirty forces fought off militant groups trying to sieze Haditha and a nearby dam on the Euphrates River. 40 militants are killed by the security forces.,Derechos Human Rights and Equipo Nizkor 2014
2014,Water treatment facilities and a dam in the Ukraine are attacked,Casualty,Ukraine,Eastern Europe,"Gunmen fire at a water filtration center, causing an unknown number of casualties. Landmines are planted at a dam in Bakhmut (formerly Artemivsk district), Donetsk Oblast, Ukraine. The outcome of the attack is not reported and no group claims responsibility, although it is attributed to the Donetsk People's Republic.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201407140120
2014,"Attack on an aqueduct in Colombia cuts off water for 16,000",Casualty,Colombia,Latin America and the Ca,"An unclaimed attack on an aqueduct leaves approximately 16,000 people without water. The  Revolutionary Armed Forces of Colombia (FARC) is blamed for the attack and criticized by a Colombian military general for causing a war crime by breaking international law that prohibits attacks on water systems.",Escobar 2014
2014,Water pipeline is damaged in Colombia,Casualty,Colombia,Latin America and the Ca,A water pipeline is damaged by an explosive device near the Pan-American Highway in Colombia. The attack is attributed to the Revolutionary Armed Forces of Colombia (FARC).,National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201407310004
2014,Levees along the Shebelle river are destroyed,Weapon,Somalia,Sub-Saharan Africa,"Levees are destroyed along the Shebelle River in Somalia, in an attempt, sources claim, to make roads unusable by military forces. The attack is attributed to Al-Shabaab.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201409010003
2014,A bomb damages a water pipeline in the city of Minva Al-Qamh,Casualty,Egypt,Northern Africa,"A person is injured when an explosive device placed under a water pipeline is detonated in the city of Minya Al-Qamh, Eygpt. The pipeline is not damaged. No one claims responsibility for the explosion.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201409270026
2014,Hydroelectric power plant is attacked,Casualty,Turkey,Western Asia,"A hydroelectric power plant in Kars Province, Turkey is attacked by the Kurdistan Workers' Party. Three attackers are killed. The next day, three off-duty Turkish soldiers are killed in retribution.","Staff, Reuters 2014"
2014,Water supply reservoir is attacked in Ukraine,Casualty,Ukraine,Eastern Europe,The regional water utility company in the Donetsk Oblast province of eastern Ukraine reports that the reservoir in rebel-controlled Horlivka has been hit by shells. Two injuries are reported.,Naharnet Newsdesk 2014
2014,Water construction equipment damaged,"Trigger, Casualty",India,Southern Asia,"Maoists in Dharambandha, India claim responsibility for a bombing attack on a culvert and the excavation machine being used to build a canal.","New Indian Express, The 2014"
2014,"At least 30 people reported killed in attack on Hadithah Dam, Iraq",Casualty,Iraq,Western Asia,At least 30 people are reported killed during an attack on a dam in the Hadithah area of Iraq. No group claims responsibility for the attack but it is thought to have been carried out by Islamic State.,National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201412290031
2014,"Islamic State contaminates drinking water supplies, Syria",Weapon,"Syria, Iraq",Western Asia,"Islamic State deliberately contaminates drinking water with crude oil in the Balad district of the Salahaddin Governorate. Poisoned water supplies are also reported from Aleppo, Deir ez Zor, Raqqa, and  Baghdad.",UN Security Council 2017
2014,Violence over access to water between neighbors in Kyrgyzstan leaves one dead,Trigger,Kyrgyzstan,Central Asia,In Kyrgyzstan an Uzbek farmer is killed by his Kyrgyz neighbor who reportedly attacks him over access to irrigation water.,Arnold 2018
2014-2015,"Islamic State destroys water wells, pumps, and pipes in agricultural regions in Iraq",Casualty,Iraq,Western Asia,"Farmers returning to their land in northwestern Iraq after the Islamic State (ISIS/ISIL) find widespread devastation to agricultural land, livestock, and machinery, including water pumps, wells, pipes and generators. One assessment by the Iraq Food and Security Cluster Partnership notes that of the 450 deep wells, only 50 are still useable. Another assessment by Amnesty International details the destruction of wells on the properties of more than 30 different farmers from across the country.",Joint Crisis Coordination Center 2015
