,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
WTFC,0.91,12.84,13.81,1.28,0.32,4.49,1.94%,7.30%,18.80%,-1.00%,1.10%
WTFCM,,,,,,,,,,,
WTFCP,,,,,,,,,,,
WTRE,0.79,-,9.45,-,0.65,-0.78,-,-2.30%,5.00%,1043.20%,0.10%
WTREP,,,,,,,,,,,
WTRH,4.81,-,19.24,-,1.18,-0.17,-,-17.00%,-188.00%,101.30%,2.40%
WVE,3.26,-,-,-,0.00,-5.05,-,-377.80%,-327.00%,41.70%,0.60%
WVFC,0.70,12.58,-,-,0.00,1.20,2.65%,5.90%,15.40%,-46.20%,6.70%
WVVI,1.01,15.10,-,-,0.23,0.43,-,6.80%,7.20%,7.50%,23.83%
WVVIP,,,,,,,,,,,
WW,-,23.88,14.29,-,-,1.31,-,-14.00%,28.80%,15.20%,8.20%
WWD,3.62,30.84,26.98,-,0.42,3.74,0.29%,12.60%,7.10%,-13.40%,0.10%
WWR,3.21,-,-,-,0.00,-1.90,-,-113.50%,-,29.80%,0.30%
WYNN,-,-,-,-,-,-17.53,-,-215.30%,5.70%,-,0.60%
XAIR,5.77,-,-,-,0.28,-1.43,-,-,-79.20%,21.70%,8.70%
XBIO,0.92,-,-,-,0.00,-1.74,-,-76.70%,-,55.00%,14.69%
XBIOW,,,,,,,,,,,
XBIT,1.58,2.00,-,-,0.00,9.39,-,151.10%,-,42.00%,21.70%
XCUR,1.75,-,-,-,0.22,-0.27,-,-27.40%,-31.10%,-12.40%,13.40%
XEL,2.62,24.51,23.10,3.95,1.51,2.80,2.50%,11.00%,6.20%,12.90%,0.20%
XELA,-,-,-,-,-,-2.68,-,50.50%,-45.50%,78.10%,14.74%
XELB,0.21,-,-,-,0.18,-0.41,-,-8.10%,-1.80%,-350.50%,7.40%
XENE,2.32,-,-,-,0.00,-0.88,-,-17.40%,-42.80%,25.70%,1.30%
XENT,7.99,-,-,-,0.77,-1.85,-,-60.60%,-38.40%,14.10%,1.70%
XERS,13.48,-,-,-,0.00,-3.10,-,-510.40%,-167.70%,71.60%,1.50%
XFOR,1.51,-,-,-,0.00,-2.84,-,-49.30%,-,28.60%,2.40%
XGN,4.29,-,-,-,0.60,-2.00,-,-33.50%,-11.40%,76.90%,0.30%
XLNX,14.68,60.02,43.98,6.67,0.81,2.45,1.03%,25.20%,21.10%,-11.70%,0.20%
XLRN,7.78,-,-,-,0.00,-2.40,-,-24.30%,-30.30%,23.30%,0.20%
XNCR,3.97,-,-,-,0.00,-1.45,-,-14.20%,2.30%,-21.40%,0.20%
XNET,0.71,-,-,-,0.07,-0.54,-,-12.80%,-19.80%,94.00%,-
XOMA,9.40,-,-,-,0.79,-1.40,-,-33.90%,-5.10%,-129.00%,0.40%
XONE,3.03,-,-,-,0.05,-0.77,-,-25.20%,-29.30%,37.30%,1.20%
XP,13.74,64.24,44.70,15.08,4.29,0.63,-,23.60%,4.80%,91.80%,55.96%
XPEL,23.81,65.68,51.95,-,0.15,0.61,-,43.10%,39.40%,46.80%,20.10%
XPER,1.60,-,10.33,-,0.77,-0.60,1.04%,-5.20%,-6.00%,12.30%,1.70%
XRAY,2.45,-,23.18,-,0.47,-0.36,0.75%,-1.70%,4.30%,-35.10%,0.30%
XSPA,1.59,-,-,-,0.11,-4.93,-,-478.30%,4327.50%,98.00%,0.08%
XT,-,-,-,-,-,-,1.13%,-,-,-,-
XTLB,1.88,-,-,-,0.00,-0.54,-,-38.50%,-,85.20%,1.00%
YGMZ,-,31.45,-,-,0.59,0.13,-,-,11.70%,-24.00%,74.25%
YI,7.61,-,-,-,0.37,-0.90,-,-76.50%,-56.20%,12.30%,-
YJ,2.70,-,9.17,-,0.00,-0.06,-,-4.90%,-19.40%,16.10%,2.18%
YLCO,-,-,-,-,-,-,3.13%,-,-,-,-
YLDE,-,-,-,-,-,-,1.58%,-,-,-,-
YMAB,17.55,-,-,-,0.00,-3.10,-,-77.00%,-,-17.40%,33.48%
YNDX,5.72,73.38,44.47,191.60,0.28,0.94,-,10.20%,6.70%,304.80%,3.08%
YORW,4.25,36.93,36.35,7.54,0.83,1.25,1.62%,11.80%,9.20%,4.40%,1.00%
YRCW,-,-,-,-,-,-1.47,-,12.00%,2.20%,91.50%,0.80%
YSACU,,,,,,,,,,,
YTEN,1.41,-,-,-,0.00,-15.88,-,-225.10%,521.00%,86.30%,0.50%
YTRA,4.62,-,-,-,0.36,-0.11,-,-24.60%,-23.00%,42.90%,14.97%
YVR,1.84,-,-,-,0.20,-0.80,-,-98.80%,-98.30%,-18.20%,21.60%
YY,1.08,13.13,15.46,3.75,0.15,6.53,1.45%,26.10%,1.30%,2352.60%,1.38%
Z,5.78,-,357.00,-,-,-1.43,-,-,-,-,11.18%
ZAGG,0.89,-,17.43,-,0.72,-1.61,-,-34.90%,6.10%,-30.10%,0.70%
ZAZZT,,,,,,,,,,,
ZBRA,10.14,41.77,25.64,4.18,0.81,8.79,-,26.00%,20.50%,-13.20%,0.60%
ZBZZT,,,,,,,,,,,
ZCMD,-,9.84,-,-,0.00,0.19,-,-,21.10%,-15.70%,37.24%
ZCZZT,,,,,,,,,,,
ZEAL,6.01,12.65,-,-,-,3.00,-,-,-,-,0.01%
ZEUS,0.59,-,26.61,-,0.58,-0.72,0.52%,-2.70%,3.00%,-356.50%,3.80%
ZG,5.97,-,309.06,-,0.48,-1.48,-,-8.20%,-4.30%,152.20%,0.30%
ZGNX,2.83,-,-,-,0.30,-3.84,-,-51.30%,-175.40%,84.00%,0.30%
ZGYH,,,,,,,,,,,
ZGYHR,,,,,,,,,,,
ZGYHU,,,,,,,,,,,
ZGYHW,,,,,,,,,,,
ZI,17.92,-,90.93,-,1.99,-0.30,-,-72.70%,2.50%,-,-
ZION,0.96,17.66,12.78,-,0.19,2.36,3.27%,5.80%,23.50%,-12.90%,0.80%
ZIONL,,,,,,,,,,,
ZIONN,,,,,,,,,,,
ZIONO,,,,,,,,,,,
ZIONP,,,,,,,,,,,
ZIOP,4.10,-,-,-,0.00,-0.36,-,-50.00%,-,78.00%,6.58%
ZIXI,11.05,-,11.09,-,5.21,-0.28,-,-40.70%,-2.10%,21.60%,2.40%
ZJZZT,,,,,,,,,,,
ZKIN,0.76,7.72,-,-,0.39,0.26,-,10.50%,14.00%,-98.10%,73.95%
ZLAB,17.09,-,-,-,0.01,-3.40,-,-64.50%,-67.50%,1.50%,1.18%
ZM,97.37,527.28,142.46,13.71,0.00,0.78,-,24.70%,1.40%,3256.60%,0.30%
ZNGA,3.19,-,19.76,-,0.00,-0.38,-,-18.10%,-10.90%,-148.00%,0.80%
ZNTEU,-,-,-,-,-,-,-,-,-,-,-
ZNTL,5.69,-,-,-,0.00,-,-,-,-,-,9.79%
ZS,39.89,-,273.35,-,1.78,-0.89,-,-31.70%,-8.60%,-801.10%,2.70%
ZSAN,0.89,-,-,-,0.21,-0.97,-,-127.80%,-,79.80%,0.40%
ZUMZ,2.01,15.92,13.12,1.06,0.00,2.39,-,13.70%,13.20%,184.40%,6.20%
ZVO,1.08,-,9.42,-,0.02,-0.51,-,-13.70%,-56.40%,113.20%,0.50%
ZVZZC,,,,,,,,,,,
ZVZZT,,,,,,,,,,,
ZWZZT,,,,,,,,,,,
ZXYZ.A,,,,,,,,,,,
ZXZZT,,,,,,,,,,,
ZYNE,1.97,-,-,-,0.00,-2.08,-,-74.20%,-,-268.60%,7.11%
ZYXI,8.37,44.24,26.07,-,0.01,0.30,-,32.90%,43.50%,-37.00%,7.50%
AACG,1.03,-,-,-,0.01,-0.61,-,-38.80%,-45.00%,154.90%,18.70%
AACQ,-,-,-,-,-,-,-,-,-,-,-
AACQU,,,,,,,,,,,
AACQW,,,,,,,,,,,
AAL,-,-,-,-,-,-13.85,-,219.80%,10.30%,-590.60%,0.10%
AAME,0.34,64.85,-,-,0.26,0.03,-,1.00%,1.10%,210.50%,2.80%
AAOI,0.71,-,-,-,0.57,-3.91,-,-30.50%,-15.60%,3.60%,6.50%
AAON,9.66,44.26,49.02,3.69,0.02,1.44,0.60%,24.10%,18.10%,42.00%,19.10%
AAPL,32.14,37.67,28.49,2.98,1.73,3.27,0.67%,75.20%,31.70%,-3.00%,0.07%
AAWW,0.70,-,6.28,-,1.17,-9.16,-,-12.40%,-5.00%,19.90%,1.30%
AAXJ,-,-,-,-,-,-,1.54%,-,-,-,-
AAXN,8.79,-,96.06,-,0.00,-0.66,-,-5.60%,-1.40%,-113.50%,1.70%
ABCB,0.97,10.86,10.13,1.36,0.19,3.30,1.68%,9.20%,15.20%,445.10%,1.00%
ABCM,-,-,-,-,-,-,0.78%,-,-,-,-
ABEO,1.27,-,-,-,0.02,-1.04,-,-62.00%,-,77.90%,2.30%
ABIO,0.51,-,-,-,0.00,-2.65,-,-31.30%,-,56.70%,0.20%
ABMD,10.12,58.22,52.02,3.40,0.00,4.56,-,18.90%,17.90%,378.60%,1.40%
ABST,-,-,-,-,-,-,2.36%,-,-,-24.60%,0.43%
ABTX,0.91,15.84,13.90,-,0.35,2.11,1.20%,6.00%,17.90%,39.00%,0.70%
ABUS,-,-,-,-,-,-1.24,-,128.90%,203.20%,81.70%,1.60%
ACACU,-,-,-,-,-,-,-,-,-,-,-
ACAD,13.22,-,-,-,0.00,-1.71,-,-40.30%,-35.40%,-86.10%,0.27%
ACAM,1.30,465.45,-,-,0.00,0.02,-,0.30%,-,-115.60%,-
ACAMU,,,,,,,,,,,
ACAMW,,,,,,,,,,,
ACBI,0.93,16.31,11.27,1.55,0.22,0.91,-,5.90%,18.70%,20.70%,1.60%
ACCD,-,-,-,-,-,-2.76,-,-,20.50%,-448.40%,1.30%
ACER,2.95,-,-,-,0.00,-2.07,-,-161.00%,-,1.00%,16.30%
ACET,0.54,-,-,-,0.00,-12.56,-,-68.50%,-,58.70%,0.40%
ACEV,-,-,-,-,-,-,-,-,-,-,-
ACEVU,-,-,-,-,-,-,-,-,-,-,-
ACEVW,,,,,,,,,,,
ACGL,1.14,11.86,11.89,2.24,0.26,2.79,-,10.40%,13.10%,8.00%,2.93%
ACGLO,,,,,,,,,,,
ACGLP,,,,,,,,,,,
ACHC,1.43,37.35,15.62,2.94,1.22,1.13,-,4.00%,5.20%,-14.10%,1.61%
ACHV,0.97,-,-,-,0.00,-8.76,-,-72.10%,-,87.40%,0.49%
ACIA,4.45,43.88,24.78,-,0.00,1.60,-,11.10%,3.90%,58.70%,0.20%
ACIU,1.56,-,-,-,0.01,-0.95,-,-24.20%,16.20%,-204.80%,46.99%
ACIW,3.85,72.49,43.37,6.04,1.13,0.51,-,5.50%,4.70%,-49.90%,0.80%
ACLS,2.02,21.00,17.72,1.05,0.10,1.32,-,10.30%,4.30%,1432.00%,0.70%
ACMR,16.37,121.70,50.99,6.09,0.29,0.67,-,19.90%,16.50%,-101.90%,2.50%
ACNB,0.86,12.58,-,-,0.00,2.02,3.93%,6.90%,28.10%,-12.80%,3.00%
ACOR,0.12,0.89,-,0.03,0.73,0.92,-,16.10%,-48.20%,100.80%,1.50%
ACRS,3.65,-,-,-,0.27,-1.36,-,-103.50%,-158.70%,55.50%,3.90%
ACRX,-,-,-,-,-,-0.56,-,85.50%,340.90%,36.60%,1.10%
ACST,3.48,-,-,-,-,-0.07,-,-,-,-,8.64%
ACTC,,,,,,,,,,,
ACTCU,-,-,-,-,-,-,-,-,-,-,-
ACTCW,,,,,,,,,,,
ACTG,0.89,16.17,10.49,0.81,0.57,0.23,-,7.30%,-17.20%,320.60%,1.40%
ACWI,-,-,-,-,-,-,1.99%,-,-,-,-
ACWX,-,-,-,-,-,-,2.90%,-,-,-,-
ADAP,1.87,-,-,-,0.00,-0.96,-,-44.90%,-113.30%,38.70%,0.10%
ADBE,19.72,60.59,43.07,3.48,0.35,7.94,-,35.40%,20.60%,22.00%,0.10%
ADES,1.15,-,-,-,0.35,-0.64,-,-24.20%,-17.50%,28.60%,0.80%
ADI,4.33,42.86,22.24,3.74,0.43,3.28,1.76%,10.40%,8.20%,39.50%,0.10%
ADIL,3.83,-,-,-,0.00,-0.82,-,-132.80%,-,-46.10%,17.95%
ADILW,,,,,,,,,,,
ADMA,2.46,-,-,-,1.36,-0.87,-,-98.80%,-,0.00%,0.50%
ADMP,1.36,-,-,-,0.19,-0.50,-,-115.90%,-76.90%,20.90%,1.30%
ADMS,-,-,-,-,-,-2.22,-,328.40%,-72.70%,57.70%,0.90%
ADOCU,-,-,-,-,-,-,-,-,-,-,29.60%
ADP,12.66,29.86,27.09,2.70,0.34,5.75,2.17%,44.40%,30.80%,4.70%,0.10%
ADPT,8.27,-,-,-,0.00,-0.95,-,-20.10%,-12.90%,-143.60%,1.30%
ADRE,-,-,-,-,-,-,1.22%,-,-,-,-
ADSK,893.74,140.71,53.82,3.99,24.31,1.97,-,-319.20%,14.00%,144.50%,0.10%
ADTN,1.65,-,29.59,-,0.00,-0.32,2.82%,-4.20%,-16.80%,111.70%,1.00%
ADTX,1.06,-,-,-,0.00,-0.73,-,-596.90%,-,26.20%,4.60%
ADUS,3.14,46.86,28.86,3.12,0.12,2.18,-,7.10%,5.10%,47.90%,1.50%
ADV,1.33,-,14.10,-,0.00,-0.05,-,-0.60%,-,-528.10%,64.01%
ADVM,2.68,-,-,-,0.00,-1.28,-,-32.20%,-39.20%,-25.00%,0.40%
ADVWW,,,,,,,,,,,
ADXN,-,-,-,-,-,-,-,-,-,-,-
ADXS,0.61,-,-,-,0.00,-0.60,-,-81.60%,-49.70%,90.50%,0.09%
AEGN,1.34,-,14.75,-,0.56,-1.33,-,-9.80%,0.60%,-581.00%,3.50%
AEHL,0.11,-,-,-,0.02,-1.10,-,-3.00%,-3.40%,240.10%,49.00%
AEHR,3.06,-,-,-,0.13,-0.10,-,-15.50%,-17.70%,125.10%,8.00%
AEIS,4.99,37.13,18.23,3.71,0.42,2.69,-,14.50%,4.30%,528.40%,0.60%
AEMD,1.68,-,-,-,0.00,-0.79,-,-54.60%,-67.80%,88.70%,1.20%
AEP,2.08,22.22,18.48,3.93,1.59,3.86,3.45%,9.60%,5.30%,1.60%,0.01%
AEPPL,,,,,,,,,,,
AEPPZ,,,,,,,,,,,
AERI,9.73,-,-,-,3.41,-4.19,-,-173.00%,-52.70%,20.60%,0.70%
AESE,0.68,-,-,-,0.17,-1.26,-,-74.10%,-26.80%,5.90%,5.30%
AEY,2.16,-,-,-,0.55,-1.72,-,-82.60%,-13.40%,137.00%,29.30%
AEYE,20.44,-,-,-,0.17,-0.63,-,-236.80%,-434.30%,56.30%,6.40%
AEZS,1.63,-,-,-,0.01,-0.18,-,-125.80%,628.40%,-3.10%,0.60%
AFIB,2.97,-,-,-,0.30,-,-,-,42.60%,-226.20%,2.30%
AFIN,0.52,-,-,-,0.00,-0.40,11.23%,-2.60%,1.60%,-136.90%,0.10%
AFINP,,,,,,,,,,,
AFMD,8.02,-,-,-,0.05,-0.62,-,-100.40%,-77.30%,60.20%,6.55%
AFYA,4.85,36.84,23.56,3.56,0.20,0.69,-,11.70%,7.90%,-4.20%,19.14%
AGBA,,,,,,,,,,,
AGBAR,,,,,,,,,,,
AGBAU,,,,,,,,,,,
AGBAW,,,,,,,,,,,
AGC,,,,,,,,,,,
AGCUU,-,-,-,-,-,-,-,-,-,-,-
AGCWW,,,,,,,,,,,
AGEN,-,-,-,-,-,-1.09,-,82.80%,-,15.30%,9.30%
AGFS,0.44,-,-,-,0.98,-1.48,-,-25.00%,-3.10%,-888.10%,2.00%
AGIO,6.68,-,-,-,0.00,-4.93,-,-57.60%,-,20.70%,0.10%
AGLE,3.79,-,-,-,0.00,-1.91,-,-81.40%,-,55.80%,2.53%
AGMH,28.99,-,-,-,0.00,-0.07,-,-,-11.30%,-,54.51%
AGNC,0.92,-,6.45,-,5.93,-0.52,9.40%,-2.90%,-,-,0.34%
AGNCM,,,,,,,,,,,
AGNCN,,,,,,,,,,,
AGNCO,,,,,,,,,,,
AGNCP,,,,,,,,,,,
AGRX,3.67,-,-,-,0.24,-0.50,-,-56.80%,-,-115.00%,0.90%
AGTC,2.29,-,-,-,0.17,-2.14,-,-73.10%,-58.30%,6.30%,0.30%
AGYS,11.15,-,49.17,-,0.00,-1.12,-,-32.60%,-47.70%,277.30%,2.50%
AGZD,-,-,-,-,-,-,2.37%,-,-,-,-
AHAC,,,,,,,,,,,
AHACU,-,-,-,-,-,-,-,-,-,-,2.95%
AHACW,,,,,,,,,,,
AHCO,4.54,-,40.27,-,1.67,-0.11,-,-,6.60%,-601.90%,0.80%
AHPI,2.21,-,-,-,0.40,-0.64,-,-27.80%,-26.20%,75.00%,2.30%
AIA,-,-,-,-,-,-,1.81%,-,-,-,-
AIH,1.64,-,1.54,-,0.69,-0.54,-,-,-3.60%,-,-
AIHS,10.00,-,-,-,1.90,-0.17,-,-358.10%,-58.60%,-190.30%,32.82%
AIKI,0.73,-,-,-,0.00,-0.75,-,-50.70%,-,95.80%,5.62%
AIMC,1.94,-,17.83,-,0.79,-0.30,0.42%,-1.00%,5.80%,48.30%,0.50%
AINV,0.72,-,7.57,-,1.59,-1.66,11.13%,-10.40%,5.00%,386.80%,0.20%
AIQ,-,-,-,-,-,-,0.50%,-,-,-,-
AIRG,2.72,-,53.59,-,0.00,-0.22,-,-4.50%,0.50%,-93.40%,0.60%
AIRR,-,-,-,-,-,-,0.25%,-,-,-,-
AIRT,1.61,-,-,-,4.60,-1.17,-,-16.10%,9.20%,-27.40%,45.22%
AIRTP,,,,,,,,,,,
AIRTW,,,,,,,,,,,
AKAM,4.10,30.30,18.83,2.90,0.00,3.41,-,14.70%,9.00%,13.70%,2.12%
AKBA,1.40,-,-,-,0.00,-2.97,-,-105.70%,-59.40%,8.90%,0.30%
AKER,0.74,-,-,-,0.00,-2.86,-,-136.30%,-42.30%,74.80%,24.28%
AKRO,3.36,-,-,-,0.00,-2.16,-,-40.90%,-,-13.40%,8.35%
AKTS,8.17,-,-,-,0.70,-1.10,-,-98.20%,-49.50%,-5.80%,9.30%
AKTX,14.82,-,-,-,0.00,-0.91,-,-,-,-8.20%,26.88%
AKU,,,,,,,,,,,
AKUS,0.99,-,-,-,0.00,-,-,-,-,-369.20%,15.30%
ALAC,6.01,2702.52,-,-,0.37,0.00,-,0.60%,-,-194.00%,21.59%
ALACR,,,,,,,,,,,
ALACU,,,,,,,,,,,
ALACW,,,,,,,,,,,
ALBO,2.79,-,-,-,0.00,-6.15,-,-71.20%,-65.60%,-13.30%,0.30%
ALCO,1.16,10.05,-,-,1.07,3.07,1.17%,11.70%,9.10%,-87.10%,15.80%
ALDX,3.66,-,-,-,0.22,-1.30,-,-73.90%,-,66.00%,2.22%
ALEC,3.52,-,-,-,0.00,-2.23,-,-53.90%,-58.80%,-42.40%,0.40%
ALGM,-,-,59.79,-,0.05,-,-,-,5.10%,479.40%,56.40%
ALGN,13.14,22.99,60.97,1.22,0.00,21.99,-,69.00%,32.00%,37.10%,0.40%
ALGS,-,-,-,-,-,-,-,-,-,-,22.70%
ALGT,3.92,-,48.28,-,2.18,-6.05,-,-12.20%,12.60%,-167.40%,16.40%
ALIM,-,-,-,-,-,-0.77,-,10.70%,-124.80%,81.60%,1.80%
ALJJ,2.66,-,-,-,6.60,-1.87,-,-159.30%,-3.00%,66.70%,60.34%
ALKS,2.76,-,40.65,-,0.25,-0.47,-,-6.90%,-12.80%,99.80%,0.20%
ALLK,11.53,-,-,-,0.00,-2.74,-,-29.20%,-,-83.10%,9.47%
ALLO,3.58,-,-,-,0.00,-2.13,-,-27.60%,-,-4.90%,1.60%
ALLT,2.70,-,165.00,-,-,-0.27,-,-,-,-,6.49%
ALNA,2.46,-,-,-,0.54,-1.27,-,-210.80%,-,60.90%,4.28%
ALNY,12.35,-,-,-,0.00,-7.83,-,-66.00%,-65.40%,-13.80%,0.30%
ALOT,1.00,-,33.10,-,0.29,-0.07,-,-0.60%,3.10%,-99.70%,4.50%
ALPN,3.23,-,-,-,0.15,-1.44,-,-80.40%,-126.70%,55.40%,0.50%
ALRM,8.30,50.25,45.68,13.22,0.25,1.48,-,19.30%,10.90%,100.70%,1.10%
ALRN,3.28,-,-,-,0.02,-0.77,-,-170.40%,-,54.20%,1.10%
ALRS,1.33,10.62,16.97,-,0.18,2.35,2.40%,13.60%,16.80%,138.50%,2.00%
ALSK,0.96,17.11,-,-,0.98,0.18,-,5.70%,4.70%,12.60%,0.30%
ALT,1.96,-,-,-,0.00,-2.00,-,-46.40%,-47.00%,27.40%,1.40%
ALTA,1.46,12.00,14.86,1.50,0.00,2.33,2.15%,12.80%,26.90%,2.40%,1.10%
ALTM,2.02,-,15.51,-,7.97,-99.46,-,50.70%,-,123.00%,0.60%
ALTR,10.60,-,234.37,-,0.60,-0.20,-,-4.00%,-0.50%,47.80%,0.70%
ALTY,-,-,-,-,-,-,10.56%,-,-,-,-
ALVR,-,-,-,-,-,-0.44,-,-,51.80%,-,36.40%
ALXN,2.43,28.75,9.48,2.67,0.23,4.27,-,8.60%,16.90%,25.80%,0.10%
ALXO,11.36,-,-,-,0.02,-1.14,-,-,29.40%,-144.60%,2.60%
ALYA,3.04,-,-,-,-,-0.24,-,-,-,-,26.60%
AMAL,0.79,9.41,9.89,-,0.00,1.41,2.41%,8.90%,29.70%,-2.10%,0.26%
AMAT,8.15,21.76,15.95,1.36,0.57,3.92,1.03%,32.90%,20.40%,49.70%,0.10%
AMBA,6.44,-,163.82,-,0.00,-1.76,-,-9.50%,-11.80%,-38.00%,5.00%
AMCA,-,-,-,-,-,-,2.61%,-,-,-,-
AMCI,1.64,-,-,-,0.02,-0.05,-,-0.50%,-,-,-
AMCIU,,,,,,,,,,,
AMCIW,,,,,,,,,,,
AMCX,2.27,12.87,4.17,-,3.88,2.52,-,20.40%,13.90%,-43.60%,0.10%
AMD,28.67,130.74,51.39,3.42,0.00,0.72,-,27.00%,12.40%,198.80%,0.60%
AMED,10.69,49.51,39.38,3.01,0.41,5.00,-,23.80%,15.30%,109.30%,1.40%
AMEH,2.84,19.11,17.85,-,1.03,0.93,-,16.80%,5.60%,354.10%,5.10%
AMGN,12.10,18.27,13.32,2.75,3.13,12.40,2.82%,72.10%,21.20%,5.00%,0.19%
AMHC,,,,,,,,,,,
AMHCU,,,,,,,,,,,
AMHCW,,,,,,,,,,,
AMKR,1.65,11.62,11.78,0.28,0.61,1.29,1.07%,15.00%,5.50%,68.60%,1.00%
AMNB,0.89,10.38,11.69,2.60,0.11,2.60,4.00%,8.80%,20.20%,-15.60%,3.40%
AMOT,2.86,26.69,23.47,0.89,0.93,1.51,0.30%,11.50%,9.90%,-14.10%,12.70%
AMPH,2.09,132.99,15.65,5.32,0.11,0.13,-,1.70%,-3.20%,200.50%,1.60%
AMRB,0.72,10.30,10.34,0.69,0.00,1.10,2.48%,7.30%,24.90%,12.80%,8.60%
AMRH,0.71,-,-,-,0.51,-2.32,-,-62.10%,-43.30%,-565.20%,9.18%
AMRHW,,,,,,,,,,,
AMRK,1.81,3.99,9.54,-,4.93,7.37,-,57.90%,5.50%,17933.60%,1.00%
AMRN,3.14,-,28.98,-,0.02,-0.04,-,-2.70%,-3.80%,-76.70%,1.00%
AMRS,-,-,-,-,-,-1.87,-,242.80%,-,34.40%,0.60%
AMSC,5.87,-,-,-,0.00,-0.92,-,-27.90%,-32.30%,-325.20%,3.30%
AMSF,2.18,11.44,17.92,1.14,0.00,4.76,1.98%,20.30%,21.50%,8.90%,0.70%
AMST,4.94,-,-,-,0.00,-,-,-,-,-192.40%,15.00%
AMSWA,4.36,81.60,54.40,5.10,0.00,0.20,2.70%,5.60%,5.00%,71.00%,1.30%
AMTB,0.79,238.94,30.98,-,0.15,0.07,-,0.40%,22.00%,-85.40%,0.30%
AMTBB,,,,,,,,,,,
AMTI,6.89,-,-,-,0.00,-,-,-,-,-114.10%,2.30%
AMTX,-,-,-,-,-,-1.39,-,17.40%,-18.80%,-90.30%,10.19%
AMWD,2.00,23.12,11.79,2.89,0.75,3.80,-,9.00%,8.20%,-0.10%,1.60%
AMYT,-,-,-,-,-,-,-,-,-,-,-
AMZN,19.39,93.82,70.60,2.58,0.61,34.15,-,24.50%,11.70%,192.00%,10.60%
ANAB,1.87,-,-,-,0.00,-2.71,-,-19.10%,-26.40%,24.10%,0.30%
ANAT,0.38,6.98,-,-,0.11,12.36,3.81%,5.60%,4.40%,85.60%,0.20%
ANCN,2.14,-,-,-,-,-2.03,-,-,-,-,3.89%
ANDA,7.55,86.80,-,-,0.00,0.12,-,-,-,-70.70%,0.50%
ANDAR,,,,,,,,,,,
ANDAU,,,,,,,,,,,
ANDAW,,,,,,,,,,,
ANDE,0.82,-,16.05,-,1.15,-0.06,2.99%,-0.20%,1.20%,75.30%,1.80%
ANGI,4.58,733.12,-,-,0.57,0.02,-,0.60%,2.70%,-74.40%,0.90%
ANGL,-,-,-,-,-,-,5.06%,-,-,-,-
ANGO,1.16,-,94.42,-,0.00,-4.46,-,-31.80%,-33.50%,-231.40%,2.60%
ANIK,1.85,-,85.22,-,0.09,-0.32,-,-1.50%,8.80%,-170.60%,0.30%
ANIP,1.74,-,7.38,-,0.96,-1.98,-,-13.00%,4.80%,-88.90%,0.60%
ANIX,7.86,-,-,-,0.00,-0.46,-,-160.80%,-228.70%,-3.90%,5.40%
ANNX,1.95,-,-,-,0.00,-0.96,-,-649.20%,-,-,-
ANPC,-,-,-,-,-,-1.03,-,-,-386.20%,-,37.84%
ANSS,8.01,75.91,47.49,11.88,0.12,4.41,-,11.20%,11.20%,-16.90%,0.30%
ANTE,0.15,-,-,-,0.13,-12.52,-,-51.40%,-146.80%,74.40%,10.00%
ANY,-,-,-,-,-,-1.32,-,80.30%,-,-272.40%,15.49%
AOSL,2.04,428.62,12.39,25.21,0.56,0.06,-,0.70%,-3.10%,806.20%,19.00%
AOUT,-,-,12.99,-,-,-,-,-,-,-,0.71%
APA,-,-,101.63,-,-,-20.78,0.76%,-,-28.30%,97.70%,0.27%
APDN,3.83,-,-,-,0.27,-4.07,-,-186.00%,-,53.70%,4.80%
APEI,1.55,27.05,20.94,17.57,0.00,1.15,-,6.00%,2.60%,271.60%,3.60%
APEN,8.20,-,-,-,5.49,-1.24,-,-,-43.20%,72.20%,1.30%
APHA,1.55,27.76,-,-,-,0.30,-,-,-,-,0.01%
API,5.65,-,-,-,0.00,-,-,-,5.40%,-,-
APLS,32.45,-,-,-,0.00,-8.31,-,-339.90%,-,-63.80%,2.40%
APLT,4.56,-,-,-,0.00,-5.14,-,-83.40%,-,-112.40%,4.20%
APM,3.83,-,-,-,0.01,-0.54,-,-67.10%,-103.00%,71.00%,26.43%
APOG,1.34,15.03,11.10,1.00,0.32,1.79,2.78%,9.30%,9.50%,-7.70%,1.30%
APOP,3.00,-,-,-,-,-0.85,-,-,-,-,8.03%
APOPW,,,,,,,,,,,
APPF,19.15,34.71,225.75,1.39,0.00,4.58,-,95.30%,21.00%,2665.70%,0.10%
APPN,31.99,-,-,-,0.01,-0.57,-,-15.40%,-24.50%,76.90%,0.40%
APPS,38.01,135.03,50.99,2.70,0.20,0.30,-,34.40%,24.30%,124.40%,3.10%
APRE,5.82,-,-,-,0.00,-2.30,-,-48.00%,-,-78.70%,12.91%
APTO,4.51,-,-,-,0.00,-0.64,-,-49.50%,-,-25.00%,20.40%
APTX,1.60,-,-,-,0.00,-1.26,-,-46.40%,-58.80%,45.10%,3.72%
APVO,70.24,-,-,-,11.45,-10.15,-,-199.50%,-,37.40%,6.19%
APWC,0.20,-,-,-,0.12,-0.05,-,-0.50%,-1.60%,-22.60%,75.40%
APXT,1.76,447.00,-,-,0.00,0.03,-,0.40%,-,-691.00%,-
APXTU,,,,,,,,,,,
APXTW,,,,,,,,,,,
